tweet_id,retweet_count,favorite_count
857214891891077121,16,207
857062103051644929,149,0
857029823797047296,3542,17301
856543823941562368,2583,15056
856526610513747968,1673,10976
856288084350160898,15,492
856282028240666624,5653,25589
855862651834028034,22,309
855860136149123072,867,4483
855857698524602368,1890,10988
855851453814013952,16371,42544
855818117272018944,4881,24597
855459453768019968,7400,27489
855245323840757760,5356,0
855138241867124737,36,0
854732716440526848,5454,20992
854482394044301312,6118,26990
854365224396361728,4228,17444
854120357044912130,6712,29621
854010172552949760,2841,15064
853760880890318849,5191,26451
853639147608842240,8999,32001
853299958564483072,3217,14370
852936405516943360,1814,0
852912242202992640,1632,8365
852672615818899456,1958,13860
852553447878664193,3162,15108
852311364735569921,9009,30777
852226086759018497,6181,18601
852189679701164033,1444,10716
851861385021730816,19,0
851591660324737024,3174,15185
851464819735769094,6408,22615
851224888060895234,5246,19312
850753642995093505,8221,28558
850380195714523136,2375,12241
850333567704068097,304,3238
850145622816686080,3449,15243
850019790995546112,4451,19050
849776966551130114,6930,28328
849668094696017920,4522,0
849412302885593088,2879,14871
849336543269576704,1722,10728
849051919805034497,7748,39620
848690551926992896,3977,23635
848324959059550208,4222,23187
848213670039564288,659,7648
848212111729840128,2757,15259
847978865427394560,2984,0
847971574464610304,403,0
847962785489326080,4657,22063
847842811428974592,1208,5088
847617282490613760,379,6575
847606175596138505,3139,17604
847251039262605312,3984,19264
847157206088847362,5334,18658
847116187444137987,2921,20187
846874817362120707,3610,18895
846514051647705089,10566,41813
846505985330044928,2818,13274
846153765933735936,8313,29563
846139713627017216,9308,29223
846042936437604353,2630,15048
845812042753855489,7989,27463
845677943972139009,4440,23800
845397057150107648,1638,7204
845306882940190720,4952,21944
845098359547420673,7056,0
844979544864018432,2347,12868
844973813909606400,2906,14146
844580511645339650,2862,15518
844223788422217728,2014,12900
843981021012017153,2737,14348
843856843873095681,4240,20262
843604394117681152,2521,15962
843235543001513987,5510,20287
842846295480000512,3360,14444
842765311967449089,1185,6382
842535590457499648,3240,17162
842163532590374912,5356,23059
842115215311396866,2801,13220
841833993020538882,13807,0
841680585030541313,7264,24393
841439858740625411,3375,11933
841320156043304961,5109,18702
841314665196081154,4296,14977
841077006473256960,4951,21656
840761248237133825,1634,0
840728873075638272,14884,0
840698636975636481,2,168
840696689258311684,902,11642
840632337062862849,1634,8551
840370681858686976,4242,15565
840268004936019968,5310,18197
839990271299457024,2103,12730
839549326359670784,7182,25976
839290600511926273,135,0
839239871831150596,6027,25620
838952994649550848,3718,18660
838921590096166913,1891,10578
838916489579200512,31,0
838831947270979586,10214,0
838561493054533637,1242,10410
838476387338051585,4403,21292
838201503651401729,9351,0
838150277551247360,310,1583
838085839343206401,1,134
838083903487373313,2895,16735
837820167694528512,7268,32305
837482249356513284,413,3660
837471256429613056,2098,12169
837110210464448512,2204,15284
836989968035819520,2148,12138
836753516572119041,4321,18394
836677758902222849,2058,12024
836648853927522308,516,0
836397794269200385,25520,0
836380477523124226,2788,14107
836260088725786625,4040,20281
836001077879255040,3962,18156
835685285446955009,7569,0
835574547218894849,3366,16935
835536468978302976,1573,0
835309094223372289,19482,0
835297930240217089,2789,15688
835264098648616962,1573,7356
835246439529840640,64,2010
835172783151792128,5369,24938
835152434251116546,2814,21278
834931633769889797,1515,10263
834786237630337024,5178,20505
834574053763584002,2346,12983
834477809192075265,9929,0
834458053273591808,1567,9160
834209720923721728,4411,19524
834167344700198914,3428,15079
834089966724603904,2001,9588
834086379323871233,2062,12436
833863086058651648,2245,12819
833826103416520705,3536,17320
833732339549220864,210,0
833722901757046785,3039,19965
833479644947025920,1913,14216
833124694597443584,4522,19293
832998151111966721,2054,12625
832769181346996225,38,0
832757312314028032,3382,16090
832682457690300417,2710,11306
832645525019123713,494,2786
832636094638288896,2602,15123
832397543355072512,2068,11420
832369877331693569,2984,16363
832273440279240704,2179,10839
832215909146226688,5818,0
832215726631055365,8711,0
832088576586297345,2,60
832040443403784192,8965,0
832032802820481025,4368,17037
831939777352105988,5744,22832
831926988323639298,34,324
831911600680497154,6077,26237
831670449226514432,1711,9950
831650051525054464,1814,6789
831552930092285952,2192,8577
831322785565769729,1466,8889
831315979191906304,1049,6261
831309418084069378,2306,11277
831262627380748289,1922,11347
830956169170665475,1399,7625
830583320585068544,15665,63450
830173239259324417,5330,0
830097400375152640,2753,9306
829878982036299777,4672,0
829861396166877184,1812,11710
829501995190984704,9929,30317
829449946868879360,1891,10003
829141528400556032,6874,23229
829011960981237760,15368,50993
828801551087042563,3215,0
828770345708580865,5491,24451
828708714936930305,10505,34805
828650029636317184,1260,9101
828409743546925057,1096,6110
828408677031882754,1205,7364
828381636999917570,2089,12053
828376505180889089,1002,7087
828372645993398273,2765,12053
828361771580813312,166,2097
828046555563323392,2702,11215
828011680017821696,2025,9918
827933404142436356,4913,19141
827653905312006145,2833,14818
827600520311402496,876,7163
827324948884643840,2849,15173
827199976799354881,2091,10143
826958653328592898,4672,20608
826848821049180160,9496,34535
826615380357632002,3745,0
826598799820865537,233,4931
826598365270007810,2207,9580
826476773533745153,3960,17598
826240494070030336,2447,12693
826204788643753985,865,4677
826115272272650244,2920,14950
825876512159186944,1752,10055
825829644528148480,2363,12224
825535076884762624,16628,54715
825147591692263424,4253,17516
825120256414846976,1179,0
825026590719483904,1179,5993
824796380199809024,5177,0
824775126675836928,3319,14293
824663926340194305,1668,10070
824325613288833024,10051,11332
824297048279236611,3631,14420
824025158776213504,570,4644
823939628516474880,2572,10217
823719002937630720,10517,0
823699002998870016,2369,13409
823581115634085888,2474,12456
823333489516937216,21,671
823322678127919110,3782,15046
823269594223824897,9350,0
822975315408461824,3249,16607
822872901745569793,40577,125804
822859134160621569,2139,12644
822647212903690241,6032,0
822610361945911296,2774,14171
822489057087389700,6032,17362
822462944365645825,13377,26665
822244816520155136,9350,33538
822163064745328640,4460,0
821886076407029760,2170,10830
821813639212650496,3164,0
821765923262631936,1575,8027
821522889702862852,1650,7683
821421320206483457,5222,0
821407182352777218,4056,11246
821153421864615936,9,238
821149554670182400,1844,8225
821107785811234820,2000,9204
821044531881721856,2154,12142
820837357901512704,6338,0
820749716845686786,9351,30248
820690176645140481,3047,11739
820494788566847489,531,0
820446719150292993,2428,0
820314633777061888,531,3222
820078625395449857,5892,18924
820013781606658049,1095,0
819952236453363712,1095,5104
819924195358416896,4604,12404
819711362133872643,2921,12807
819588359383371776,1895,9287
819347104292290561,1131,6946
819238181065359361,387,2168
819227688460238848,6338,22094
819015337530290176,35060,0
819015331746349057,18038,0
819006400881917954,18038,43590
819004803107983360,35060,83736
818646164899774465,19760,0
818627210458333184,7164,21529
818614493328580609,2383,9445
818588835076603904,5771,0
818536468981415936,2308,10419
818307523543449600,7580,0
818259473185828864,2123,10562
818145370475810820,2406,11770
817908911860748288,753,4665
817827839487737858,25520,49299
817777686764523521,2548,10359
817536400337801217,2765,11284
817502432452313088,3197,0
817423860136083457,13807,32309
817415592588222464,901,5376
817181837579653120,7990,0
817171292965273600,1906,8420
817120970343411712,2453,11710
817056546584727552,1547,8259
816829038950027264,4454,0
816816676327063552,1916,9622
816697700272001025,2077,9387
816450570814898180,7580,29097
816336735214911488,1827,8274
816091915477250048,2010,8594
816062466425819140,958,0
816014286006976512,4952,0
815990720817401858,958,4751
815966073409433600,7990,21471
815745968457060357,3921,0
815736392542261248,2149,9451
815639385530101762,1569,7924
815390420867969024,3622,9952
814986499976527872,1201,7368
814638523311648768,2552,10854
814578408554463233,5539,0
814530161257443328,1753,8315
814153002265309185,8219,27647
813944609378369540,3009,0
813910438903693312,1763,8981
813812741911748608,13234,35060
813800681631023104,1670,8005
813217897535406080,6938,17911
813202720496779264,1733,8899
813187593374461952,4115,19123
813172488309972993,1834,8934
813157409116065792,2090,7463
813142292504645637,2277,8201
813130366689148928,425,4335
813127251579564032,2955,11375
813112105746448384,2600,9932
813096984823349248,3446,10180
813081950185472002,2641,9554
813066809284972545,1864,7653
813051746834595840,6973,20202
812781120811126785,1805,7247
812709060537683968,1372,6380
812503143955202048,1166,5843
812466873996607488,1826,7676
812372279581671427,3480,13128
811985624773361665,1331,7015
811744202451197953,1508,7267
811647686436880384,698,5386
811627233043480576,2904,12242
811386762094317568,6068,20125
810984652412424192,1355,5129
810896069567610880,1665,8669
810657578271330305,2508,10569
810284430598270976,10660,33841
810254108431155201,3215,14170
809920764300447744,3745,15009
809808892968534016,4660,0
809448704142938112,1393,6712
809220051211603969,5329,19162
809084759137812480,3359,12740
808838249661788160,2906,9782
808733504066486276,2058,7618
808501579447930884,2483,10921
808344865868283904,19760,40787
808134635716833280,5610,0
808106460588765185,2095,8525
808001312164028416,3361,12054
807621403335917568,3444,14060
807106840509214720,52508,113318
807059379405148160,6985,0
807010152071229440,3694,12679
806629075125202948,32889,71618
806620845233815552,5229,0
806576416489959424,1857,4723
806542213899489280,2248,9859
806242860592926720,11048,0
806219024703037440,1149,6227
805958939288408065,5100,0
805932879469572096,1832,8009
805826884734976000,1741,6346
805823200554876929,7598,0
805520635690676224,1579,5564
805487436403003392,2409,8481
805207613751304193,1644,7591
804738756058218496,3648,13179
804475857670639616,1923,5933
804413760345620481,3063,0
804026241225523202,15282,42715
803773340896923648,2610,9685
803692223237865472,7050,0
803638050916102144,3949,10538
803380650405482500,1791,7500
803321560782307329,5043,0
803276597545603072,2324,9681
802952499103731712,1906,8711
802624713319034886,2768,0
802600418706604034,1397,6867
802572683846291456,2402,8655
802323869084381190,5577,15582
802265048156610565,1316,6713
802239329049477120,2503,8786
802185808107208704,257,0
801958328846974976,1619,7476
801854953262350336,222,1748
801538201127157760,1985,7945
801285448605831168,784,5836
801167903437357056,5610,23524
801127390143516673,3769,0
801115127852503040,2006,7789
800859414831898624,91,655
800855607700029440,1531,0
800751577355128832,2668,10236
800513324630806528,2864,12702
800459316964663297,2084,9181
800443802682937345,4098,0
800388270626521089,2661,10760
800188575492947969,3763,0
800141422401830912,2428,14733
800018252395122689,12502,27273
799774291445383169,4440,0
799757965289017345,2040,8094
799422933579902976,1830,7799
799308762079035393,5173,0
799297110730567681,2610,9518
799063482566066176,2379,7807
798933969379225600,4231,12608
798925684722855936,1381,7268
798705661114773508,6318,0
798701998996647937,7373,0
798697898615730177,6190,0
798694562394996736,4728,0
798686750113755136,2212,0
798682547630837760,4505,0
798673117451325440,5306,0
798665375516884993,3731,0
798644042770751489,1765,0
798628517273620480,1885,0
798585098161549313,5378,0
798576900688019456,5582,0
798340744599797760,3191,0
798209839306514432,2457,10077
797971864723324932,2942,11151
797545162159308800,4679,14073
797236660651966464,6250,19213
797165961484890113,25,217
796904159865868288,8503,0
796865951799083009,1858,7424
796759840936919040,2887,11366
796563435802726400,6874,0
796484825502875648,1675,7297
796387464403357696,3961,10611
796177847564038144,13589,0
796149749086875649,13589,30989
796125600683540480,1712,4808
796116448414461957,2285,8774
796080075804475393,2198,8145
796031486298386433,3556,10430
795464331001561088,22325,47501
795400264262053889,2726,9659
795076730285391872,5177,15591
794983741416415232,3204,0
794926597468000259,2194,9842
794355576146903043,9812,0
794332329137291264,2573,9284
794205286408003585,3164,8901
793962221541933056,4660,16158
793845145112371200,1773,8902
793614319594401792,2986,0
793601777308463104,1541,7695
793500921481273345,2263,10278
793286476301799424,8711,23680
793271401113350145,2294,8394
793256262322548741,7938,19221
793241302385262592,3132,10126
793226087023144960,2756,9430
793210959003287553,2651,8599
793195938047070209,5357,14652
793180763617361921,1900,6665
793165685325201412,2663,9027
793150605191548928,1616,5939
793135492858580992,2394,6177
793120401413079041,3739,12193
792913359805018113,3767,13780
792883833364439040,4069,10879
792773781206999040,1606,7103
792394556390137856,4070,12919
792050063153438720,1697,6876
791821351946420224,20052,0
791784077045166082,9048,0
791780927877898241,3624,0
791774931465953280,21090,43297
791672322847637504,2986,11325
791406955684368384,3921,12673
791312159183634433,2410,8452
791026214425268224,3879,0
790987426131050500,2027,9448
790946055508652032,4454,16085
790723298204217344,2191,0
790698755171364864,1833,7924
790581949425475584,6757,19846
790337589677002753,1799,7558
790277117346975746,3009,12096
790227638568808452,3374,0
789986466051088384,2191,8944
789960241177853952,3903,0
789903600034189313,3933,9921
789628658055020548,1678,7201
789599242079838210,1822,6487
789530877013393408,3204,11276
789314372632018944,2174,8309
789280767834746880,4668,0
789268448748703744,2483,8792
789137962068021249,2648,9367
788908386943430656,11878,26446
788765914992902144,9812,26313
788552643979468800,6776,0
788412144018661376,5010,14929
788178268662984705,2005,6996
788150585577050112,1216,5892
788070120937619456,3260,0
788039637453406209,1250,5881
787810552592695296,2883,8272
787717603741622272,2631,9855
787397959788929025,2713,10494
787322443945877504,1648,7519
787111942498508800,6403,0
786963064373534720,7569,25643
786729988674449408,2305,0
786709082849828864,5818,17599
786664955043049472,2406,10188
786595970293370880,2981,9132
786363235746385920,3284,10434
786286427768250368,2684,7665
786233965241827333,4460,14645
786051337297522688,151,1371
786036967502913536,6605,0
785927819176054784,3038,10974
785872687017132033,1698,6436
785639753186217984,2128,7577
785533386513321988,1872,8726
785515384317313025,1188,5892
785264754247995392,1542,6984
785170936622350336,4570,11536
784826020293709826,3063,9714
784517518371221505,2393,8622
784431430411685888,1203,5506
784183165795655680,7598,19235
784057939640352768,10517,28534
783839966405230592,10214,28782
783821107061198850,1859,7084
783695101801398276,3040,10017
783466772167098368,2113,8106
783391753726550016,5171,16207
783347506784731136,5236,0
783334639985389568,11049,27904
783085703974514689,2056,7832
782969140009107456,6985,23174
782747134529531904,1337,7179
782722598790725632,5100,16526
782598640137187329,1783,7495
782305867769217024,5222,15933
782021823840026624,5836,0
781955203444699136,3184,10714
781661882474196992,2567,10021
781655249211752448,1071,3842
781524693396357120,5229,19897
781308096455073793,2419,6853
781251288990355457,1964,8052
781163403222056960,2617,9411
780931614150983680,6874,20752
780858289093574656,1899,6906
780800785462489090,1220,5256
780601303617732608,3164,11602
780543529827336192,1654,6027
780496263422808064,3476,0
780476555013349377,105,0
780459368902959104,1015,5072
780192070812196864,2118,8343
780092040432480260,2171,0
780074436359819264,4661,11591
779834332596887552,6605,18003
779377524342161408,2937,8386
779124354206535695,17230,0
779056095788752897,4279,14133
778990705243029504,6755,19020
778774459159379968,9301,0
778764940568104960,343,827
778748913645780993,1228,6572
778650543019483137,1411,5493
778624900596654080,955,4400
778408200802557953,4073,13039
778396591732486144,11500,0
778383385161035776,1031,5584
778286810187399168,3118,9908
778039087836069888,2502,8097
778027034220126208,1512,6283
777953400541634568,3316,0
777885040357281792,1538,6087
777684233540206592,2768,10764
777641927919427584,3979,0
777621514455814149,2368,8359
777189768882946048,4050,13536
776819012571455488,12832,0
776813020089548800,1136,4669
776477788987613185,2600,8389
776249906839351296,8598,0
776218204058357768,14930,28483
776201521193218049,2374,9139
776113305656188928,4098,11285
776088319444877312,142,1744
775898661951791106,15774,0
775842724423557120,2500,11208
775733305207554048,3769,13277
775729183532220416,4353,12428
775364825476165632,2769,7042
775350846108426240,3683,9708
775085132600442880,4440,14844
774757898236878852,1682,8255
774639387460112384,1635,6445
774314403806253056,5173,20842
773985732834758656,3636,10294
773922284943896577,1647,6130
773704687002451968,1521,6323
773670353721753600,1244,5127
773547596996571136,5771,21116
773336787167145985,4756,0
773308824254029826,7056,22311
773247561583001600,3061,9032
773191612633579521,3874,9537
772877495989305348,3639,8166
772826264096874500,2232,7676
772615324260794368,3170,0
772581559778025472,1605,6207
772193107915964416,1305,5743
772152991789019136,1066,3642
772117678702071809,695,3598
772114945936949249,447,2615
772102971039580160,882,3821
771908950375665664,1781,6272
771770456517009408,3191,11460
771500966810099713,2451,7892
771380798096281600,4756,10045
771171053431250945,6983,0
771136648247640064,2747,8738
771102124360998913,1354,5954
771014301343748096,1558,6583
770787852854652928,1124,4696
770772759874076672,1341,4953
770655142660169732,1684,7020
770414278348247044,1960,6043
770293558247038976,1373,5917
770093767776997377,2862,0
770069151037685760,2150,7238
769940425801170949,8965,29753
769695466921623552,1585,6138
769335591808995329,7247,0
769212283578875904,1623,5146
768970937022709760,6099,13608
768909767477751808,2494,0
768855141948723200,837,3994
768609597686943744,1121,3911
768596291618299904,1207,4804
768554158521745409,5466,0
768473857036525572,3211,12966
768193404517830656,3316,10351
767884188863397888,1279,4526
767754930266464257,5043,15220
767500508068192258,2182,7152
767191397493538821,3529,11711
767122157629476866,2690,9684
766793450729734144,1275,4817
766714921925144576,356,2489
766693177336135680,744,3834
766423258543644672,1473,5714
766313316352462849,1764,6442
766078092750233600,2461,0
766069199026450432,793,4008
766008592277377025,468,3594
765719909049503744,2029,6901
765669560888528897,1154,4935
765395769549590528,3173,25493
765371061932261376,2041,6767
765222098633691136,3170,11075
764857477905154048,1666,6160
764259802650378240,1417,5728
763956972077010945,50,738
763837565564780549,3879,11940
763183847194451968,1390,5123
763167063695355904,2812,0
763103485927849985,2159,7023
762699858130116608,3374,11538
762471784394268675,6005,10663
762464539388485633,3903,9789
762316489655476224,1039,4561
762035686371364864,14531,30214
761976711479193600,1861,5136
761750502866649088,3641,0
761745352076779520,810,4084
761672994376806400,27199,46947
761599872357261312,1113,3939
761371037149827077,16933,0
761334018830917632,1361,4921
761292947749015552,1023,4273
761227390836215808,1474,5079
761004547850530816,3260,10797
760893934457552897,906,3621
760656994973933572,1777,6260
760641137271070720,1204,4752
760539183865880579,3386,7189
760521673607086080,1302,3979
760290219849637889,10736,25462
760252756032651264,811,3759
760190180481531904,1676,5431
760153949710192640,30,0
759943073749200896,1951,5635
759846353224826880,1837,6377
759793422261743616,1783,5665
759557299618865152,1123,4454
759447681597108224,2305,8063
759446261539934208,458,1589
759197388317847553,1823,5785
759159934323924993,1089,0
759099523532779520,3885,13801
759047813560868866,1875,6148
758854675097526272,855,3377
758828659922702336,3608,10649
758740312047005698,1516,5445
758474966123810816,931,3601
758467244762497024,2055,4543
758405701903519748,1783,4940
758355060040593408,981,3204
758099635764359168,9301,17998
758041019896193024,345,2565
757741869644341248,3066,6512
757729163776290825,7334,0
757725642876129280,1123,4304
757611664640446465,1016,4349
757597904299253760,283,0
757596066325864448,979,4127
757400162377592832,6419,14336
757393109802180609,1610,5514
757354760399941633,1318,4271
756998049151549440,1860,5953
756939218950160384,1873,6311
756651752796094464,1209,4777
756526248105566208,3353,9843
756303284449767430,1028,3743
756288534030475264,16557,41811
756275833623502848,1432,6067
755955933503782912,2671,6921
755206590534418437,4980,15563
755110668769038337,10345,20044
754874841593970688,7362,0
754856583969079297,2344,6537
754747087846248448,483,2446
754482103782404096,1821,5013
754449512966619136,685,3554
754120377874386944,2199,7498
753655901052166144,2030,5528
753420520834629632,3301,7457
753398408988139520,1766,5436
753375668877008896,2171,7245
753298634498793472,5296,0
753294487569522689,973,3170
753039830821511168,19482,35092
753026973505581056,890,3720
752932432744185856,6403,11950
752917284578922496,1462,6592
752701944171524096,2664,0
752682090207055872,1484,5685
752660715232722944,1448,4133
752568224206688256,2117,5196
752519690950500352,3209,6964
752334515931054080,1026,3633
752309394570878976,15101,0
752173152931807232,1701,5629
751950017322246144,850,2896
751937170840121344,1220,4894
751830394383790080,1816,5513
751793661361422336,2676,5488
751598357617971201,2871,7529
751583847268179968,1018,4162
751538714308972544,1166,4789
751456908746354688,936,3059
751251247299190784,5474,11894
751205363882532864,1698,5995
751132876104687617,1203,4797
750868782890057730,1274,4539
750719632563142656,4668,12452
750506206503038976,1072,4198
750429297815552001,3979,12465
750383411068534784,1058,4318
750381685133418496,27,676
750147208377409536,887,2957
750132105863102464,1202,3425
750117059602808832,1230,4116
750101899009982464,785,2896
750086836815486976,497,2053
750071704093859840,3084,7362
750056684286914561,840,3000
750041628174217216,575,3002
750026558547456000,730,2569
750011400160841729,834,3050
749996283729883136,765,2883
749981277374128128,2308,4838
749774190421639168,1239,4424
749417653287129088,1532,5776
749403093750648834,499,2475
749395845976588288,3209,8073
749317047558017024,2075,5167
749075273010798592,1918,5444
749064354620928000,1433,4559
749036806121881602,740,2926
748977405889503236,3174,10178
748932637671223296,2095,5484
748705597323898880,889,2628
748699167502000129,1477,4479
748692773788876800,1244,3996
748575535303884801,1842,5729
748568946752774144,625,2083
748346686624440324,1144,4934
748337862848962560,3800,7161
748324050481647620,709,3500
748307329658011649,666,3493
748220828303695873,7226,13331
747963614829678593,1986,5453
747933425676525569,2391,6250
747885874273214464,897,2760
747844099428986880,691,2666
747816857231626240,1081,4557
747651430853525504,143,1289
747648653817413632,5418,12138
747600769478692864,528,2202
747594051852075008,963,3472
747512671126323200,1497,5204
747461612269887489,966,3654
747439450712596480,1775,5106
747242308580548608,2694,0
747219827526344708,1459,4956
747204161125646336,848,3170
747103485104099331,3683,9009
746906459439529985,275,2756
746872823977771008,1981,5658
746818907684614144,1619,5015
746790600704425984,1492,4582
746757706116112384,3624,8985
746726898085036033,1665,5718
746542875601690625,1767,4758
746521445350707200,915,0
746507379341139972,1003,4400
746369468511756288,1512,5856
746131877086527488,2030,6481
746056683365994496,755,3374
745789745784041472,984,3754
745712589599014916,2161,6605
745433870967832576,2350,6646
745422732645535745,2233,8059
745314880350101504,2533,6712
745074613265149952,3241,7391
745057283344719872,2073,6854
744995568523612160,573,2792
744971049620602880,2478,7404
744709971296780288,1464,5299
744334592493166593,1963,6416
744234799360020481,71874,146733
744223424764059648,332,1551
743980027717509120,1022,3950
743895849529389061,895,3451
743835915802583040,1906,0
743609206067040256,1290,4212
743595368194129920,6044,17208
743545585370791937,877,3322
743510151680958465,3470,7510
743253157753532416,1137,3987
743222593470234624,1773,5830
743210557239623680,1259,3606
742534281772302336,3329,6644
742528092657332225,1821,4164
742465774154047488,3651,6839
742423170473463808,3476,9249
742385895052087300,1813,6392
742161199639494656,1262,4050
742150209887731712,1431,4789
741793263812808706,1401,4274
741743634094141440,2546,7665
741438259667034112,758,3469
741303864243200000,2978,8258
741099773336379392,5113,9356
741067306818797568,2862,8994
740995100998766593,2514,5934
740711788199743490,879,3191
740699697422163968,720,2692
740676976021798912,6318,17103
740373189193256964,12323,33031
740365076218183684,392,2286
740359016048689152,808,3080
740214038584557568,1811,6284
739979191639244800,5466,18777
739932936087216128,997,3820
739844404073074688,802,3581
739623569819336705,1258,3546
739606147276148736,1524,5060
739544079319588864,19567,36967
739485634323156992,2680,6675
739238157791694849,53680,108653
738891149612572673,6,93
738885046782832640,1059,3550
738883359779196928,730,3088
738537504001953792,1422,4766
738402415918125056,760,3052
738184450748633089,1127,4045
738166403467907072,3080,8205
738156290900254721,593,2327
737826014890496000,1632,4920
737800304142471168,3212,9396
737678689543020544,1223,4716
737445876994609152,4126,9613
737322739594330112,747,3368
737310737551491075,6846,13713
736736130620620800,1575,3952
736392552031657984,6776,16600
736365877722001409,1139,3725
736225175608430592,2587,7611
736010884653420544,2744,7355
735991953473572864,1048,3345
735648611367784448,1031,3788
735635087207878657,2178,5766
735274964362878976,4620,12213
735256018284875776,817,3127
735137028879360001,896,2935
734912297295085568,486,2585
734787690684657664,5850,11731
734776360183431168,495,2360
734559631394082816,361,1393
733828123016450049,727,3352
733822306246479872,949,3440
733482008106668032,865,2925
733460102733135873,1162,3929
733109485275860992,15775,50094
732732193018155009,491,2271
732726085725589504,814,3343
732585889486888962,721,3417
732375214819057664,2317,7544
732005617171337216,4952,13919
731285275100512256,919,3278
731156023742988288,1163,3600
730924654643314689,1821,5740
730573383004487680,1955,4547
730427201120833536,958,3253
